user,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
2,83.0,21.0,8.0,68.0,4.0,49.0,0.0,47.0,66.0,3.0,27.0,41.0,9.0,8.0
4,78.0,5.0,6.0,48.0,0.0,30.0,0.0,45.0,46.0,0.0,12.0,9.0,0.0,4.0
5,47.0,18.0,36.0,46.0,0.0,59.0,0.0,47.0,29.0,4.0,27.0,49.0,7.0,13.0
7,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0
9,32.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,28.0,5.0,5.0,0.0,0.0,0.0
12,11.0,5.0,0.0,16.0,0.0,9.0,0.0,9.0,11.0,5.0,0.0,5.0,5.0,3.0
16,16.0,11.0,0.0,8.0,0.0,10.0,0.0,11.0,16.0,0.0,0.0,4.0,0.0,4.0
17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
21,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
22,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
23,10.0,4.0,0.0,13.0,0.0,7.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0
25,28.0,0.0,4.0,18.0,0.0,4.0,0.0,8.0,22.0,0.0,0.0,12.0,0.0,4.0
26,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0
28,34.0,5.0,4.0,25.0,0.0,17.0,0.0,29.0,34.0,0.0,15.0,0.0,0.0,0.0
29,5.0,0.0,0.0,4.0,0.0,6.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
30,5.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0
33,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
34,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
35,7.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
36,8.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0
38,10.0,0.0,0.0,11.0,0.0,3.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0
39,17.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0
40,11.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
41,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,10.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
44,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0
45,14.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
46,16.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
47,14.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0
48,5.0,3.0,0.0,5.0,0.0,3.0,0.0,7.0,5.0,0.0,3.0,0.0,0.0,0.0
49,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
52,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
53,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
56,13.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
58,7.0,5.0,5.0,5.0,0.0,4.0,0.0,19.0,11.0,0.0,8.0,0.0,0.0,3.0
59,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
